question_order,question_answer_group_id,speaker,role,company,content,year,quarter
2,13,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah. I mean, we think the current reserve, the current allowance we think is conservatively appropriate for a range of scenarios. And as you
know, it's already kind of skewed to the downside, and there are probably some other elements of slight conservatism in there. So we'll see
how it goes, but we feel that i t's appropriate and conservative at this point.",2022,2
3,13,Matt O'Connor,Analyst,Inc.,"Okay. And then separately, you've got about $14 billion of losses in OCI. Obviously, most of that flows back to capital as the bonds mature. What's k ind of some good rule of thumb in terms of how quickly that comes back if rates stabilize here?",2022,2
4,13,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,10 basis points a year of CET 1. Yeah.,2022,2
5,13,Matt O'Connor,Analyst,Inc.,All right. 10 basis points you said?,2022,2
6,13,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,10 basis points of CET1 a year.,2022,2
7,13,Matt O'Connor,Analyst,Inc.,Got it. Okay. Thank you.,2022,2
8,13,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,After tax.,2022,2
9,13,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Basically, five years, it kind of bleeds back in over f ive years.",2022,2
10,13,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"I mean, assume it's weighted average life of four or five years. Yeah, so the good rule of thumb  on constant rates is about 10 basis points of
CET1 acc retion a year.",2022,2
11,13,Matt O'Connor,Analyst,Inc.,Thank you.,2022,2
0,14,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Okay, folks. Everybody, thank you very much, and we'll be talking to you in a quarter.",2022,2
1,14,Operator,: Thank you. Everyone,and enjoy,the rest of your day.,2022,2
0,1,Ken Usdin,Analyst,Jefferies LLC,"Hi. Thanks a lot. Good morning. I just wanted to follow up on the NII and the deposit side to Jamie's comments there. Obviously, one of the
toughest uncertainties is to understand how we think about flows and mix and beta, so just starting to see it, it looks like , in terms of deposit
costs starting to increase. So, how do you think about it now in this new environment where we might go to 4.5%, maybe higher, in terms of
how betas might act over the course of this cycle as compared to any prior cycles and previous thoughts? Thanks.",2022,3
1,1,Jeremy Barnum,Chief Financial Offi cer,JPMorgan Chase & Co.,"Yeah, thanks, Ken. Good morning. Okay. So, at Investor Day, you'll recall that Je nn said that we expected betas to be low this cycle as they
were in the prior cycle, which was a low beta cycle by historical standards. And what we're now seeing as we see the rate hikes come through
and we see the deposit rate paid develop , is that we're seeing realized betas being even lower than the prior cycle just through the actuals.
And the question is why is that ? And it's, of course, we don't really know, but plausible theories include the speed of the hikes, which probably
means that some of this is lag, but also the fact that the system is better positioned from a liquidity perspective than in p rior cycles.
So, as we look forward, we know that lags are significant right now. We know that at some point th ey will start to come out, obviously in
wholesale , they come out much faster. That's probably starting to happen now. But the exact timing of how that develops i s going to be very
much a function of the competitive environment in the marketplace for deposits, and we'll see how that plays out.",2022,3
2,1,Ken Usdin,Analyst,Jefferies LLC,"Got it. Okay. And then just the second follow -up on Jamie's points about, like, okay, if things do look worse ahead, looking ahead you might
have to build a little bit more , understandable , over the next couple of years. Can you just help us understand just where you are in your
scenario now as scenarios build? And just today still looks great, tomorrow there's some more uncertainty. So, how do we just  get to start to
understand how quickly and how you get your handle on that magnitude of ACL delta , and how do you think about it versus either, I don't
know, pandemic peak or day one CECL? It's very hard for all of us to see this, of course.",2022,3
3,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPM organ Chase & Co.,"Yeah. As you know, I think CECL is an enormously bad accounting policy. Honestly, I wouldn't spend too much time on it becaus e it's not a
real number. It's a hypothetical, probability -based number . I'm trying to make it very simple for  you. So, if you look at the pandemic, we put up
$15 billion over two quarters, and then we took it down over three or four after that . And all it did was swing all these numbers , and it didn't
change that much.
Yeah, I'm trying to give you a number, but obviously this number would be plus or minus several billion. But if unemployment goes to 6% and
that becomes the central kind of case and then you have the possibility it gets better and possibility it gets worse , we would probably have to
add something like $5 billion or $6 billion. That probably would happen over two or three quarters.",2022,3
4,1,Ken Usdin,Analyst,Jefferies LLC,Yeah .,2022,3
5,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,I mean that's as simple as I can make it.,2022,3
6,1,Ken Usdin,Analyst,Jefferies LLC,Yeah. Okay.,2022,3
7,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Right now , what we have – right,  we already have a percent in the adverse and severe adverse case s. If we change that next quarter, that will
be part of that $6 billion I'm talking about.",2022,3
8,1,Ken Usdin,Analyst,Jefferies LLC,Yes. Okay. Understood. Thank you.,2022,3
0,2,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"Good morning. I guess just following up, Jamie, so appreciate CECL and the model -based approach. I think you were quoted in the press
talking about the potential for a recession in the next six to nine months. Would appreciate any perspective in terms of, are you beginning to
see cracks , either in commercial real estate, consumer where it feels like the economic pain from inflation, higher rates is beginning to filter
through to your clients. Would appreciate any insights there.",2022,3
1,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, I'll take that, Ebrahim. Thanks. The short answer to that question is just no. We just don't see anything that you coul d realistically
describe as a crack in our actual credit performance. I made some comments about this in the prepared rem arks on the consumer side, but
we've done some fairly detailed analysis about different cohorts and early delinquency bucket entry rates and stuff like that . And we do see, in
some cases, some tiny increases . But generally in almost all cases, we think tha t's normalization , and it's even slower than we expect.",2022,3
2,2,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. I think I'd say – we're in an environment where it's kind of odd, which is very strong consumer spend. You see it in our numbers. You
see it in other people's numbers, up 10% prior to last year, up 35% to pre-COVID. Balance sheets are very good for c onsumers. Credit card
borrowing is normalizing, not getting worse. You might see – and that's really good, so you can go  into a recession, you've got a very strong
consumer.
However, it's rather predictable if you look at how they're spending and inflatio n, so inflation if it's  10% – 10% reduces that by 10%.  And that
extra money they have in the ir checking accounts will deplete probably by sometime mid -year next year.  And then, of course, you have
inflation, higher rates, higher mortgage rates, oil, volati lity, war. So, those things are out there and that – it's not a crack in current numbers. It's
quite predictable it will strain future numbers.",2022,3
